Movi Live Data
2013-01-23  21:02:02

Time(seconds)	rpm
21.405261	825
22.955986	829
24.486217	836
26.151863	837
27.684319	838
29.158723	839
30.611430	837
32.156875	835
33.629450	776
35.135340	822
37.028308	816
38.511840	836
39.940009	828
41.319590	817
42.704370	815
44.097106	828
45.452894	830
46.832540	817
48.207876	827
49.602448	827
50.973206	817
52.334172	823
53.707236	659
55.069291	674
56.428508	1345
57.835163	1321
59.193730	1707
60.584799	1672
61.960796	1783
63.313253	1838
64.671869	1890
66.058310	1815
67.457348	957
68.854273	799
70.212303	786
71.568618	652
72.939939	692
74.292891	1747
75.656572	1862
77.020267	2304
78.385286	2127
79.778098	2262
81.151872	1732
82.508455	1420
83.836523	1629
85.164485	1858
86.557814	1798
87.946125	1438
89.309877	2033
90.663302	1950
92.007879	1997
93.355670	1746
94.690825	1787
96.045295	1702
97.368442	1709
98.725443	1723
100.100298	1526
101.462997	1477
102.820011	1573
104.146167	1610
105.476349	1617
106.837933	1611
108.199858	1676
109.571051	1781
110.929512	1094
112.267942	835
113.592429	755
114.920382	670
116.256222	710
117.618354	1705
118.974787	1985
120.315955	2649
121.727335	2426
123.073019	2623
124.409738	2699
125.778316	1855
127.142596	994
128.504302	755
129.885210	720
131.213005	669
132.573828	614
133.914535	734
135.268731	1440
136.602342	1975
137.998905	2759
139.330988	2491
140.692778	2808
142.034037	2981
143.366428	2190
144.704472	1938
146.105135	1908
147.444746	1054
148.797756	1175
150.164371	1346
151.538772	1448
152.901058	1647
154.273845	1362
155.598527	1582
156.962752	1874
158.337456	2043
159.659699	2031
161.071465	1986
162.405191	2042
163.743233	2062
165.064855	1934
166.400401	1527
167.771381	1010
169.096580	1022
170.434811	834
171.823920	666
173.192002	727
174.550721	1730
175.918181	2358
177.280300	2820
178.637018	2459
179.999683	2598
181.354833	2522
182.684733	1832
184.052907	1534
185.406665	1710
186.759051	1754
188.122132	1742
189.543502	1538
190.905361	1549
192.262997	1569
193.622089	1609
194.960988	1243
196.275357	1203
197.637276	1297
198.984027	1231
200.337211	1129
201.674385	1355
203.016123	977
204.349360	955
205.710335	1183
207.025616	1294
208.399763	1276
209.756504	977
211.119616	949
212.486591	911
213.822371	850
215.153793	760
216.513921	821
217.836178	618
219.192019	671
220.557342	1174
221.883307	1963
223.293244	2836
224.666357	2741
