Movi Live Data
2013-01-23  21:02:02

Time(seconds)	Horse Power
20.485718	0
22.073292	0
23.598377	0
25.116252	0
26.779000	0
28.310089	0
29.765949	0
31.271622	0
32.779264	0
34.247026	0
36.104498	0
37.641624	0
39.146054	0
40.502082	0
41.891236	0
43.277507	0
44.670238	0
46.016058	0
47.403494	0
48.787018	0
50.159237	0
51.540908	0
52.892075	0
54.275405	0
55.639032	0
57.000209	0.77
58.399190	2
59.765246	3.5
61.170084	5.8
62.525898	8.1
63.878820	9.3
65.240225	8.8
66.663404	7.3
68.021102	3.6
69.421566	0
70.778246	0
72.142698	0
73.502103	0
74.863311	0
76.232602	0
77.605978	3.6
78.944756	12.38
80.352049	15.35
81.732132	15.24
83.059124	13.02
84.389837	10.85
85.724006	8.2
87.118853	6.7
88.502807	4.9
89.889104	7
91.226865	6.1
92.583706	2.1
93.913152	0
95.244505	0
96.595914	0
97.925982	0
99.298805	0
100.661090	0
102.019710	0
103.375496	0
104.700099	0
106.039292	0
107.396060	0
108.765874	0
110.125309	0
111.490794	0
112.816494	0
114.150649	0
115.480371	0
116.817652	0
118.197313	0
119.535261	0
120.895740	5.6
122.300346	14.15
123.633671	20.83
124.999677	19.96
126.334581	13.99
127.703541	7.1
129.057447	0
130.438160	0
131.771050	0
133.129642	0
134.496427	0
135.826313	0
137.195645	0
138.559161	7.4
139.891174	17.49
141.247618	24.04
142.589825	25.93
143.919766	25.15
145.272477	19.58
146.667133	9.5
148.019357	1.1
149.364182	0
150.758952	0
152.103139	0
153.472192	0
154.822763	0
156.154626	0
157.534160	0
158.889718	0
160.242965	0
161.627509	3.1
162.962927	5.1
164.290781	6.3
165.625395	2.1
166.970687	0
168.326412	0
169.651112	0
170.992656	0
172.411278	0
173.753360	0
175.111554	0
176.476692	0
177.840162	8.4
179.192297	16.89
180.557779	19.86
181.908146	19.25
183.272411	12.15
184.604069	5.1
185.963865	0
187.318953	0
188.713284	0
190.098111	0
191.484784	1.9
192.821303	2.8
194.180308	2
195.505495	3
196.833863	5.2
198.216868	6.3
199.537161	6.4
200.893982	6.6
202.234098	5.6
203.570463	3.4
204.929483	1.1
206.252131	0
207.598322	0
208.956603	0
210.341145	0
211.675488	0
213.048989	0
214.379018	0
215.710441	0
217.062728	0
218.414744	0
219.754478	0
221.108708	0
222.463535	0
223.881143	10.76
225.227142	25.07
226.596567	38.81
227.965539	55.57
229.329714	49.52
230.662196	41.17
232.019836	27.09
233.386017	11.81
234.744359	0
236.102142	0
237.465616	0
238.806418	0
240.164159	0
241.560544	0
242.900634	0
244.236299	0
245.578398	0
246.909026	0
248.268627	0
249.626715	0
250.949252	0
252.307817	0
253.648071	0
255.020946	0
256.375465	0
257.710726	0
259.079881	0
260.441487	0
261.806386	0
263.175510	0
264.533492	0
265.904639	0
267.252150	0
268.620333	0
269.954496	0
271.279626	0
272.666932	0
274.038806	0
275.468493	0.59
276.807514	5.8
278.196511	14.55
279.528780	24.24
280.888098	32.42
282.274402	38.62
283.649808	38.85
285.011093	33.08
286.366691	23.36
287.731478	15.19
289.065844	4.2
290.433967	0
291.799019	0
293.136160	0
294.493721	0
295.838175	0
297.231036	1.4
298.605434	1.4
299.963790	1.4
301.329657	4.4
302.667334	7.4
304.030690	9.1
305.356291	12.46
306.711993	12.46
308.043476	9.5
309.405856	8.1
310.761370	4.9
312.140651	1.7
313.477327	1.7
314.807469	1.7
316.159165	0
317.499572	0
318.873060	0
320.237237	0
321.602874	0
322.930139	0
324.296068	0
325.659264	0
327.014783	0
328.388813	1.6
329.739841	1.5
331.077643	1.5
332.421155	1.5
333.784681	0
335.114654	0
336.459696	0
337.819577	0
339.155279	0
340.514763	0
341.843705	0
343.223861	0
344.584588	0
345.925270	0
347.254416	0
348.612370	0
349.976735	0
351.364262	0
352.704718	0
354.035283	0
355.406144	0
356.766843	0
358.117836	0
359.473632	0
360.812616	0
362.186529	0
363.538410	0
364.901495	0
366.245534	0
367.612936	0
369.024004	0
370.374801	0
371.732623	0
373.114405	0
374.482663	0
375.873754	0
377.207245	0
378.553554	0
379.925821	0
381.289114	0
382.627177	0
384.005154	0
385.340312	0
386.675171	0
388.071348	0
389.430216	0
390.761332	0
392.130679	0
393.497830	0
394.833810	0
396.191180	0
397.531955	0
398.864667	0
400.236674	0
401.595598	0
402.954362	0
404.335759	0
405.722670	0.43
407.070116	5.3
408.442828	8.1
409.831338	8.1
411.169516	9.4
412.502782	9.1
413.830073	4.2
415.159403	0
416.546494	0.65
417.895848	1.4
419.258820	3.7
420.589333	9.9
421.924998	22.14
423.281891	36.47
