Movi Live Data
2013-01-23  21:02:01

Time(seconds)	 Percent
20.415192	16
22.011435	15
23.528948	16
25.060243	16
26.727097	16
28.260183	15
29.714969	16
31.209377	16
32.724486	16
34.197356	16
36.050964	16
37.587829	14
39.107941	15
40.471277	15
41.857483	15
43.236072	15
44.640068	15
45.987753	15
47.365961	15
48.751968	15
50.130907	15
51.511865	15
52.861472	15
54.245584	15
55.606340	15
56.966872	18
58.368849	20
59.733752	20
61.142199	21
62.494686	20
63.848799	20
65.206082	21
66.616252	15
67.989908	15
69.390969	15
70.750838	15
72.113187	15
73.471139	15
74.826493	21
76.192235	22
77.574158	25
78.915393	24
80.324356	22
81.706379	16
83.029448	18
84.364248	19
85.691555	20
87.084923	18
88.476768	22
89.863852	23
91.193612	21
92.556368	22
93.880116	19
95.219299	20
96.570824	20
97.892864	19
99.274459	19
100.629510	16
101.988590	16
103.345524	18
104.675052	18
106.008729	18
107.370438	18
108.731930	21
110.095019	14
111.459035	14
112.789912	14
114.125376	15
115.447848	15
116.785746	17
118.170491	22
119.502434	25
120.866059	26
122.270894	31
123.600846	27
124.971097	23
126.301829	17
127.676616	14
129.032106	15
130.406136	15
131.742058	15
133.099469	15
134.469446	17
135.795611	22
137.162915	25
138.533538	27
139.858251	31
141.214170	26
142.559721	25
143.894326	21
145.242932	20
146.643057	14
147.993047	14
149.328815	19
150.724847	19
152.071569	20
153.442971	20
154.797395	20
156.118940	21
157.509508	23
158.859525	25
160.210542	22
161.602376	23
162.934172	23
164.263408	21
165.599544	19
166.945901	14
168.299925	15
169.617774	15
170.963280	15
172.381604	15
173.720290	20
175.078771	25
176.450083	25
177.811050	27
179.166208	23
180.525158	24
181.879059	21
183.239672	18
184.575473	19
185.932541	22
187.285706	22
188.681096	18
190.068829	19
191.457291	18
192.789737	18
194.150384	18
195.479935	16
196.802997	16
198.191221	15
199.509831	15
200.867341	14
202.204499	14
203.536902	14
204.900220	14
206.226768	15
207.571949	15
208.927559	15
210.313391	14
211.645353	14
213.019512	14
214.346938	14
215.681122	14
217.036226	14
218.385241	15
219.722488	15
221.084326	21
222.434584	24
223.852135	30
225.196881	74
226.566781	54
227.934649	40
229.299368	16
230.637148	14
231.989503	20
233.352744	17
234.712095	16
236.072647	16
237.436434	16
238.775073	17
240.140143	18
241.535062	18
242.870327	18
244.206134	18
245.548932	17
246.881236	18
248.243257	21
249.597665	19
250.918935	14
252.274239	14
253.615473	14
254.994626	16
256.349709	15
257.680396	15
259.050478	15
260.413580	15
261.776786	15
263.148551	15
264.503862	15
265.872090	15
267.221192	15
268.589251	15
269.924691	15
271.254588	15
272.629118	15
273.999077	15
275.435439	21
276.777491	29
278.166829	32
279.499629	33
280.861672	27
282.245557	27
283.623994	24
284.977836	21
286.336215	18
287.700254	15
289.033333	16
290.405323	16
291.769225	18
293.109914	18
294.468631	18
295.811572	19
297.202181	20
298.579412	20
299.930885	20
301.296230	23
302.634221	23
304.000979	23
305.331743	23
306.682141	20
308.017886	19
309.375846	19
310.735463	19
312.109549	18
313.447206	17
314.780681	17
316.129881	17
317.462841	16
318.840478	17
320.203804	16
321.576456	16
322.896696	16
324.264121	16
325.634021	20
326.989498	21
328.354443	18
329.709622	17
331.044357	17
332.391481	18
333.751830	19
335.089660	19
336.434190	17
337.789868	14
339.125502	15
340.489333	18
341.817452	17
343.198831	16
344.553431	16
345.895765	16
347.223808	16
348.587880	14
349.947241	14
351.339148	14
352.671283	16
354.008583	15
355.372988	15
356.739666	15
358.091772	15
359.447600	14
360.780319	14
362.160941	14
363.512565	14
364.868657	14
366.212681	14
367.579801	14
368.998487	14
370.347805	14
371.706509	14
373.081809	14
374.455313	14
375.846118	14
377.174495	14
378.525668	14
379.894357	14
381.259484	14
382.597285	14
383.972206	15
385.315295	15
386.646553	15
388.038020	15
389.400469	15
390.728096	14
392.099518	14
393.468487	14
394.804008	14
396.165030	14
397.499934	14
398.831389	14
400.205678	14
401.570114	14
402.924305	14
404.303740	14
405.691670	21
407.040073	32
408.414839	19
409.797776	18
411.139528	21
412.477511	17
413.800464	14
415.133521	16
416.521271	19
417.868961	19
419.229994	21
420.563284	47
421.894376	49
423.250472	33
424.616360	26
425.945569	22
427.328915	25
428.712044	27
430.070886	27
431.455291	15
432.789853	14
434.115568	14
435.485618	14
436.810350	14
438.140659	14
439.465052	14
440.805686	20
442.176582	14
443.539897	14
444.898527	14
446.247094	30
447.611223	33
448.973674	34
450.355536	50
451.696885	53
453.033173	58
454.367952	45
455.706970	23
457.042537	21
458.395918	15
459.784952	15
461.110278	15
462.449311	15
463.801271	18
465.112684	22
466.448023	32
467.774145	29
469.106112	28
470.454180	20
471.770602	16
473.126972	18
474.509133	18
475.869943	21
477.210478	26
478.577323	28
479.912321	26
481.265419	21
482.591560	20
483.951734	24
485.303794	19
486.664549	18
488.084496	19
489.444496	18
490.776060	16
492.122214	16
493.529995	15
494.868652	15
496.233918	17
497.574566	19
498.912456	19
500.231161	19
501.593409	19
502.926342	19
504.285120	20
505.662113	20
506.990666	21
508.359753	33
509.711553	48
511.040039	45
512.378195	16
513.799578	20
515.169991	22
516.536278	23
517.898223	20
519.249050	21
520.640114	22
522.026659	19
523.345512	21
524.666759	21
526.007422	14
527.345034	14
528.712285	14
530.078913	14
531.416353	14
532.756279	14
534.137674	14
535.491265	14
536.845789	14
538.177957	19
539.537186	24
540.866567	25
542.203884	25
543.540253	47
544.896254	35
546.224669	43
547.555416	16
548.906973	14
550.272953	14
551.644064	14
552.972684	14
554.330933	14
555.688071	15
557.026013	15
558.350304	15
559.704286	15
561.036854	14
562.365367	15
563.705593	15
565.069674	15
566.440238	15
567.831612	14
569.202480	14
570.524202	14
571.913872	14
573.266907	14
574.612833	14
575.971764	14
577.309982	14
578.702100	14
580.030382	14
581.379521	22
582.738147	35
584.135881	34
585.503942	33
586.827493	35
588.162673	34
589.486409	34
590.839892	31
592.199722	25
593.534810	25
594.923052	23
596.267562	21
597.629742	19
598.964906	18
600.284216	18
601.660608	18
602.992636	17
604.374332	16
605.740004	16
607.139950	18
608.482397	19
609.820482	20
611.140810	20
612.530125	20
613.860500	27
615.217975	27
616.542437	27
617.936145	27
619.326988	27
620.752877	22
622.080393	23
623.420286	23
624.742686	23
626.088248	23
627.436789	23
628.770196	19
630.105717	21
631.439568	22
632.806178	23
634.139674	23
635.474052	23
636.806003	23
638.142158	19
639.481166	20
640.871944	18
642.238195	17
643.548566	18
644.906868	18
646.261894	19
647.595281	20
648.944960	20
650.297272	14
651.697148	17
653.032155	18
654.392816	15
655.750644	15
657.086660	19
658.436211	19
659.798112	19
661.149341	19
662.495508	19
663.814406	19
665.153486	20
666.483385	20
667.869369	20
669.204611	20
670.554684	20
671.909777	20
673.275415	20
674.640352	20
676.002107	20
677.364238	24
678.735231	24
680.111478	24
681.471771	24
682.815522	24
684.156352	14
685.487807	14
686.860637	14
688.206658	14
689.588867	14
690.924476	14
692.282209	14
693.703471	14
695.061438	14
696.411656	14
697.768151	14
699.127805	15
700.508478	15
701.898510	15
703.238585	15
704.583292	14
705.947336	14
707.283184	14
708.664909	15
709.989575	15
711.386030	15
712.720828	15
714.103128	14
715.441921	14
716.792301	14
718.131810	14
719.484471	14
720.808499	14
722.166736	14
723.491876	14
724.833296	14
726.159929	14
727.528119	14
728.848876	14
730.227620	14
731.604658	14
732.971932	14
734.311055	14
735.699952	14
737.041619	14
738.399500	14
739.731609	14
741.063515	15
742.428355	15
743.793370	15
745.149953	15
746.489428	15
747.838333	14
749.197019	14
750.522568	14
751.912024	14
753.275604	14
754.646713	14
756.001201	14
757.371217	14
758.713505	14
760.066985	14
761.428951	14
762.819932	14
764.181787	14
765.543703	14
766.873815	14
768.239403	20
769.632629	27
770.968676	27
772.311518	27
773.642719	27
775.029440	28
776.401795	28
777.745270	27
779.079990	25
780.421350	20
781.759183	21
783.141222	19
784.485576	18
785.852780	18
787.214753	14
788.565522	14
789.924904	16
791.283872	22
792.677498	20
794.045570	17
795.409230	17
796.769375	17
798.132801	20
799.499375	21
800.894615	20
802.227057	20
803.559509	21
804.884964	21
806.249496	21
807.621578	21
808.960283	21
810.288573	21
811.628340	19
812.972179	19
814.330138	19
815.649549	21
816.984405	20
818.345720	18
819.696292	20
821.033437	20
822.379774	21
823.734712	22
825.079174	21
826.460712	20
827.799301	20
829.155516	21
830.512921	19
831.871541	18
833.208651	18
834.545035	18
835.936840	18
837.258402	18
838.619109	20
839.953518	20
841.323382	18
842.653143	17
844.016871	15
845.397439	16
846.733554	16
848.066077	16
849.394630	17
850.761792	17
852.094319	17
853.419477	18
854.777204	18
856.112971	18
857.481923	20
858.843678	20
860.170475	21
861.511670	21
862.875019	21
864.205095	21
865.540086	60
866.870639	44
868.230002	23
869.568389	15
870.936714	22
872.320454	22
873.655255	22
874.976707	23
876.314306	18
877.707544	20
879.052160	17
880.436082	17
881.806742	17
883.133844	18
884.498218	20
885.865294	21
887.199462	21
888.569099	21
