Movi Live Data
2013-01-23  21:02:02

Time(seconds)	lb-ft
20.485718	0
22.073292	0
23.598377	0
25.116252	0
26.779000	0
28.310089	0
29.765949	0
31.271622	0
32.779264	0
34.247026	0
36.104498	0
37.641624	0
39.146054	0
40.502082	0
41.891236	0
43.277507	0
44.670238	0
46.016058	0
47.403494	0
48.787018	0
50.159237	0
51.540908	0
52.892075	0
54.275405	0
55.639032	0
57.000209	3.1
58.399190	6.5
59.765246	9.6
61.170084	17.54
62.525898	23.74
63.878820	26.56
65.240225	23.89
66.663404	39.72
68.021102	22.8
69.421566	0
70.778246	0
72.142698	0
73.502103	0
74.863311	0
76.232602	0
77.605978	9.1
78.944756	27.95
80.352049	33.48
81.732132	57.14
83.059124	43.1
84.389837	32.02
85.724006	23.87
87.118853	22.04
88.502807	13.04
89.889104	19.03
91.226865	16
92.583706	5.9
93.913152	0
95.244505	0
96.595914	0
97.925982	0
99.298805	0
100.661090	0
102.019710	0
103.375496	0
104.700099	0
106.039292	0
107.396060	0
108.765874	0
110.125309	0
111.490794	0
112.816494	0
114.150649	0
115.480371	0
116.817652	0
118.197313	0
119.535261	0
120.895740	12.53
122.300346	28.23
123.633671	40.84
124.999677	54.54
126.334581	57.28
127.703541	43.85
129.057447	0
130.438160	0
131.771050	0
133.129642	0
134.496427	0
135.826313	0
137.195645	0
138.559161	15.72
139.891174	33.77
141.247618	43.03
142.589825	59.61
143.919766	68.34
145.272477	53.34
146.667133	44.81
148.019357	5.9
149.364182	0
150.758952	0
152.103139	0
153.472192	0
154.822763	0
156.154626	0
157.534160	0
158.889718	0
160.242965	0
161.627509	8
162.962927	13.04
164.290781	16.89
165.625395	6.3
166.970687	0
168.326412	0
169.651112	0
170.992656	0
172.411278	0
173.753360	0
175.111554	0
176.476692	0
177.840162	18.25
179.192297	34.89
180.557779	40.09
181.908146	49.16
183.272411	41
184.604069	16.07
185.963865	0
187.318953	0
188.713284	0
190.098111	0
191.484784	6.3
192.821303	9.4
194.180308	6.5
195.505495	13.14
196.833863	21.22
198.216868	27.04
199.537161	29.12
200.893982	27.44
202.234098	27.79
203.570463	18.34
204.929483	5.8
206.252131	0
207.598322	0
208.956603	0
210.341145	0
211.675488	0
213.048989	0
214.379018	0
215.710441	0
217.062728	0
218.414744	0
219.754478	0
221.108708	0
222.463535	0
223.881143	21.6
225.227142	37.77
226.596567	49.38
227.965539	72.96
229.329714	122.4
230.662196	155.5
232.019836	73.64
233.386017	34.09
234.744359	0
236.102142	0
237.465616	0
238.806418	0
240.164159	0
241.560544	0
242.900634	0
244.236299	0
245.578398	0
246.909026	0
248.268627	0
249.626715	0
250.949252	0
252.307817	0
253.648071	0
255.020946	0
256.375465	0
257.710726	0
259.079881	0
260.441487	0
261.806386	0
263.175510	0
264.533492	0
265.904639	0
267.252150	0
268.620333	0
269.954496	0
271.279626	0
272.666932	0
274.038806	0
275.468493	1.6
276.807514	10.89
278.196511	23.54
279.528780	41.71
280.888098	54.27
282.274402	80.43
283.649808	80.08
285.011093	95.35
286.366691	70.68
287.731478	46.72
289.065844	13.47
290.433967	0
291.799019	0
293.136160	0
294.493721	0
295.838175	0
297.231036	4.3
298.605434	4.4
299.963790	4.1
301.329657	12.27
302.667334	20.76
304.030690	25.37
305.356291	35.13
306.711993	34.92
308.043476	26.71
309.405856	22.46
310.761370	13.64
312.140651	4.6
313.477327	4.6
314.807469	4.6
316.159165	0
317.499572	0
318.873060	0
320.237237	0
321.602874	0
322.930139	0
324.296068	0
325.659264	0
327.014783	0
328.388813	4.6
329.739841	4.6
331.077643	4.5
332.421155	4.5
333.784681	0
335.114654	0
336.459696	0
337.819577	0
339.155279	0
340.514763	0
341.843705	0
343.223861	0
344.584588	0
345.925270	0
347.254416	0
348.612370	0
349.976735	0
351.364262	0
352.704718	0
354.035283	0
355.406144	0
356.766843	0
358.117836	0
359.473632	0
360.812616	0
362.186529	0
363.538410	0
364.901495	0
366.245534	0
367.612936	0
369.024004	0
370.374801	0
371.732623	0
373.114405	0
374.482663	0
375.873754	0
377.207245	0
378.553554	0
379.925821	0
381.289114	0
382.627177	0
384.005154	0
385.340312	0
386.675171	0
388.071348	0
389.430216	0
390.761332	0
392.130679	0
393.497830	0
394.833810	0
396.191180	0
397.531955	0
398.864667	0
400.236674	0
401.595598	0
402.954362	0
404.335759	0
405.722670	1.3
407.070116	10.39
408.442828	21.84
409.831338	27.78
411.169516	29.46
412.502782	36.81
413.830073	20.08
415.159403	0
416.546494	2.4
417.895848	5.1
419.258820	10.61
420.589333	18.76
421.924998	33.66
423.281891	51.23
