Movi Live Data
2013-01-23  21:02:02

Time(seconds)	mph
21.707727	0.00
23.239270	0.00
24.777099	0.00
26.444046	0.00
27.976171	0.00
29.428589	0.00
30.900696	0.00
32.441065	0.00
33.911709	0.00
35.421285	0.00
37.304514	0.00
38.803323	0.00
40.205163	0.00
41.591302	0.00
42.971392	0.00
44.363514	0.00
45.716281	0.00
47.098579	0.00
48.477346	0.00
49.867550	0.00
51.244520	0.00
52.599333	0.00
53.973926	0.00
55.340428	0.62
56.699986	3.11
58.102851	6.84
59.463968	9.94
60.874139	12.43
62.225644	15.53
63.581073	17.40
64.941283	18.02
66.324379	18.64
67.718616	17.40
69.120717	16.16
70.477650	13.05
71.840140	8.08
73.206663	1.86
74.561318	6.21
75.923022	10.56
77.313890	13.67
78.652477	18.64
80.050256	21.75
81.439118	23.61
82.769775	23.61
84.102632	23.61
85.423977	24.85
86.817938	26.72
88.213686	26.10
89.596839	27.34
90.925375	27.96
92.270859	27.96
93.618552	26.10
94.958770	25.48
96.311989	24.85
97.626826	24.85
98.985065	24.85
100.367726	25.48
101.724261	24.85
103.079579	24.23
104.413633	23.61
105.740432	23.61
107.104926	24.23
108.468994	23.61
109.830855	22.99
111.189103	20.51
112.528944	17.40
113.859732	13.67
115.181791	8.70
116.525102	4.35
117.907833	6.84
119.235438	11.18
120.580323	16.16
121.987547	20.51
123.336459	24.85
124.703755	26.10
126.041587	26.10
127.408357	24.23
128.769289	21.75
130.144881	18.64
131.480502	13.05
132.838042	7.46
134.205300	4.35
135.535118	6.21
136.870520	11.18
138.267345	16.78
139.593587	21.75
140.952354	26.72
142.295744	29.20
143.632299	30.45
144.974720	31.07
146.373677	30.45
147.706280	29.20
149.062794	27.96
150.433096	27.34
151.806713	26.72
153.174005	26.72
154.534978	26.10
155.857773	24.85
157.251161	24.85
158.598903	25.48
159.919735	26.72
161.335081	27.34
162.667500	27.96
164.003774	28.58
165.332382	27.96
166.659097	26.10
168.035296	22.99
169.357361	18.64
170.702448	13.05
172.091523	6.84
173.456079	3.11
174.812623	7.46
176.184648	13.67
177.547888	19.26
178.906634	22.37
180.259942	24.85
181.614433	26.10
182.952838	26.10
184.314090	24.85
185.671558	23.61
187.020439	24.23
188.387483	25.48
189.808625	24.85
191.192750	24.85
192.524849	24.85
193.885662	26.10
195.220925	26.72
196.534453	27.34
197.927439	28.58
199.245653	29.20
200.602739	29.83
201.939143	29.83
203.277015	29.83
204.614357	29.20
205.969983	29.20
207.285082	29.20
208.665692	28.58
210.049062	28.58
211.380051	27.96
212.755937	26.72
214.081741	22.99
215.419400	18.64
216.777225	11.18
218.126158	5.59
219.454468	2.49
220.821543	4.35
222.172214	10.56
223.560239	17.40
224.933353	25.48
226.296730	32.31
227.668332	39.77
229.036634	42.87
230.374127	41.63
231.731620	41.63
233.088279	41.01
234.426950	40.39
235.807387	39.77
237.169933	39.15
238.507026	38.52
239.873132	38.52
241.265906	38.52
242.600972	38.52
243.941030	38.52
245.285898	38.52
246.614289	37.90
247.952607	38.52
249.333220	38.52
250.657081	37.28
252.014057	34.80
253.350514	30.45
254.707767	26.10
256.088909	22.99
257.408929	18.64
258.784133	13.05
260.123673	7.46
261.483497	3.73
262.879305	1.24
264.239926	0.00
265.578556	0.00
266.957225	0.00
268.301335	0.00
269.659749	0.00
270.993578	0.00
272.368922	0.00
273.726787	0.00
275.146521	0.62
276.510204	9.94
277.872760	19.26
279.234445	25.48
280.598068	31.07
281.976959	34.18
283.335399	36.66
284.715563	38.52
286.070962	39.15
287.432035	39.15
288.768822	37.90
290.118297	37.28
291.505679	36.66
292.842039	36.66
294.206109	36.66
295.523947	36.66
296.933450	36.66
298.292238	37.28
299.670735	37.28
301.006880	37.90
302.372969	39.15
303.714107	40.39
305.072195	41.63
306.420172	42.25
307.754157	42.25
309.113947	42.87
310.476592	42.87
311.822077	42.87
313.181954	42.87
314.519249	42.87
315.867810	42.87
317.197790	42.25
318.578244	41.63
319.937636	41.01
321.306820	40.39
322.637216	39.77
323.995974	38.52
325.371532	38.52
326.727935	39.15
328.089388	39.77
329.447085	39.77
330.785808	39.15
332.129120	39.15
333.462733	39.15
334.829885	39.77
336.148939	39.77
337.523959	39.15
338.857290	37.90
340.225008	36.66
341.556052	36.66
342.909134	36.04
344.293697	36.04
345.632105	34.80
346.959971	33.55
348.320844	32.31
349.679110	29.83
351.071915	26.72
352.402440	22.37
353.747023	18.02
355.083465	12.43
356.473899	6.84
357.823078	2.49
359.180224	0.00
360.511801	0.00
361.900516	0.00
363.251494	0.00
364.604959	0.00
365.952648	0.00
367.287497	0.00
368.732116	0.00
370.058282	0.00
371.442938	0.00
372.822579	0.00
374.188271	0.00
375.578031	0.00
376.913823	0.00
378.266919	0.00
379.625549	0.00
380.997542	0.00
382.330286	0.00
383.711826	0.00
385.051635	0.00
386.376934	0.00
387.771156	0.00
389.137432	0.00
390.466225	0.00
391.811702	0.00
393.202474	0.00
394.533207	0.00
395.901529	0.00
397.231732	0.00
398.571873	0.00
399.938888	0.00
401.307884	0.00
402.662620	0.00
404.016035	0.00
405.427211	1.24
406.778860	9.32
408.128845	16.16
409.535062	16.78
410.877847	16.78
412.214011	17.40
413.534546	18.02
414.873355	16.78
416.253121	16.16
417.606430	17.40
418.964973	19.26
420.295942	22.99
421.631147	28.58
422.989961	36.04
424.347096	41.01
425.685793	42.87
427.063643	44.74
428.418710	47.22
429.785434	50.33
431.191106	52.82
432.529510	52.82
433.849388	52.20
435.218366	52.20
436.548866	51.57
437.880550	51.57
439.203262	50.33
440.541601	49.71
441.908894	49.09
443.274987	47.85
444.638620	45.98
445.985426	45.36
447.347065	47.22
448.705955	50.33
450.095249	52.82
451.433669	55.30
452.763670	59.65
454.103595	64.00
455.447592	67.73
456.774362	68.35
458.127627	68.97
459.503859	67.73
460.851046	66.49
462.181276	65.24
463.539027	64.62
464.855989	64.62
466.179647	66.49
467.508968	68.97
468.844062	70.84
470.193371	71.46
471.510605	70.84
472.861684	69.59
474.246229	67.11
475.608371	65.87
476.949070	65.24
478.312360	65.24
479.644725	65.24
481.006248	65.24
482.325394	64.00
483.687075	63.38
485.043225	64.00
486.397897	62.76
487.791217	62.14
489.177898	62.14
490.515584	61.52
491.858963	61.52
493.267685	61.52
494.605352	60.27
495.969608	59.65
497.315702	59.65
498.646023	59.65
499.972990	60.27
501.327396	60.89
502.664800	61.52
504.024900	61.52
505.373665	61.52
506.727146	60.89
508.092129	61.52
509.424940	62.14
510.780615	65.24
512.110166	64.62
513.534061	62.14
514.902915	60.89
516.275321	60.89
517.610067	60.27
518.989106	60.27
520.378127	59.65
521.736804	60.27
523.081452	60.27
524.403190	60.27
525.742830	60.27
527.084456	60.27
528.422899	59.65
529.810688	59.03
531.151177	59.03
532.491429	59.03
533.876122	58.41
535.233033	57.79
536.585385	56.54
537.913111	55.92
539.268386	56.54
540.598772	58.41
541.941772	60.27
543.273545	61.52
544.634424	64.00
545.956400	67.11
547.294727	69.59
548.646772	68.35
549.984933	64.00
551.374503	56.54
552.707913	49.09
554.064806	42.25
555.424220	36.66
556.753508	30.45
558.091846	22.99
559.441781	15.53
560.772068	8.70
562.102608	3.73
563.439104	1.24
564.774796	0.00
566.174319	0.00
567.563836	0.00
568.937637	0.00
570.264638	0.00
571.651144	0.00
573.008007	0.00
574.354874	0.00
575.708647	0.00
577.043238	0.00
578.435751	0.00
579.770175	0.00
581.114978	0.62
582.472185	11.18
583.842497	21.75
585.237770	28.58
586.567630	34.18
587.898288	39.15
589.222147	42.87
590.574915	45.98
591.932153	48.47
593.271434	49.09
594.659801	50.33
596.002112	50.95
597.367371	50.95
598.704777	50.95
600.024890	50.95
601.395302	50.95
602.728065	51.57
604.113940	51.57
605.474222	50.95
606.846187	51.57
608.221662	51.57
609.556056	51.57
610.880143	52.20
612.270716	52.20
613.597073	51.57
614.956754	52.20
616.283661	53.44
617.673582	54.06
619.065424	54.06
620.461409	54.06
621.820272	53.44
623.153921	52.82
624.483819	52.82
625.826593	52.20
627.146011	52.20
628.499231	51.57
629.839980	50.95
631.177649	50.95
632.540993	50.95
633.877815	51.57
635.207081	51.57
636.541712	52.20
637.878107	52.82
639.216846	52.82
640.603374	52.82
641.972982	52.82
643.289857	52.20
644.642954	52.20
645.995371	52.20
647.330696	52.20
648.682514	52.82
650.032009	53.44
651.427611	52.82
652.763007	52.20
654.130498	52.82
655.483473	52.20
656.819115	51.57
658.150080	52.20
659.506672	52.82
660.881795	53.44
662.226247	54.06
663.555118	54.06
664.886573	54.68
666.215269	55.30
667.605230	55.92
668.939039	55.92
670.289535	56.54
671.650324	55.92
673.009504	55.92
674.355736	55.30
675.711799	54.06
677.104088	53.44
678.443911	53.44
679.824117	53.44
681.210878	53.44
682.555113	53.44
683.887524	52.82
685.222786	50.33
686.591458	47.85
687.917488	45.36
689.326765	42.25
690.664333	37.90
691.990537	32.31
693.436917	27.34
694.797093	20.51
696.149411	13.67
697.505101	7.46
698.868099	2.49
700.223291	0.00
701.605205	0.00
702.974244	0.00
704.323433	0.00
705.653229	0.00
707.021640	0.00
708.378883	0.00
709.728856	0.00
711.093310	0.00
712.454481	0.00
713.809065	0.00
715.176789	0.00
716.531260	0.00
717.871429	0.00
719.222824	0.00
720.546722	0.00
721.895596	0.00
723.231384	0.00
724.567919	0.00
725.893059	0.00
727.261671	0.00
728.588450	0.00
729.941891	0.00
731.314760	0.00
732.704038	0.00
734.045082	0.00
735.409199	0.00
736.777995	0.00
738.107608	0.00
739.462834	0.00
740.799761	0.00
742.162097	0.00
743.531688	0.00
744.856270	0.00
746.224815	0.00
747.552500	0.00
748.935426	0.00
750.256913	0.00
751.649335	0.00
753.006550	0.00
754.380782	0.00
755.734803	0.00
757.103271	0.00
758.448990	0.00
759.808685	0.00
761.164207	0.00
762.555094	0.00
763.918034	0.00
765.278269	0.00
766.607890	0.00
767.974424	0.62
769.366613	8.08
770.708934	16.78
772.051395	22.99
773.375847	28.58
774.735788	32.93
776.133634	36.66
777.475708	39.77
778.814045	42.25
780.160167	44.12
781.493491	45.36
782.851192	46.60
784.220175	47.85
785.587600	49.09
786.947345	49.09
788.302932	49.09
789.662669	48.47
791.019296	49.09
792.417309	50.95
793.756186	51.57
795.120458	52.20
796.506551	52.20
797.868998	51.57
799.213021	52.20
800.602124	52.20
801.966664	52.82
803.293468	52.82
804.624930	53.44
805.982672	53.44
807.354197	54.06
808.691929	54.68
810.028858	54.68
811.366662	54.68
812.704065	54.68
814.067119	54.06
815.389188	54.06
816.726359	54.06
818.052279	54.06
819.436202	54.06
820.771547	54.06
822.110533	54.06
823.473772	54.68
824.810901	54.68
826.178070	54.68
827.535874	54.06
828.890785	53.44
830.247087	53.44
831.605142	52.82
832.943383	52.20
834.286279	51.57
835.673890	50.95
836.994613	50.95
838.350072	50.95
839.689918	52.20
841.058478	52.82
842.392372	53.44
843.750084	54.06
845.136636	53.44
846.464744	53.44
847.799888	53.44
849.130460	53.44
850.497206	53.44
851.830958	53.44
853.159883	53.44
854.510198	53.44
855.849091	53.44
857.197510	53.44
858.574990	54.06
859.905233	54.68
861.250742	54.68
862.605584	55.30
863.944357	55.30
865.273089	55.30
866.606248	59.03
867.962637	61.52
869.305470	60.27
870.650651	57.79
872.061123	57.17
873.387298	56.54
874.711672	56.54
876.048447	55.92
877.439176	55.30
878.788180	54.68
880.144378	53.44
881.539516	52.82
882.869802	51.57
884.229326	51.57
885.597020	51.57
886.934514	52.20
888.300015	52.82
889.645247	53.44
891.015420	54.06
892.370700	55.30
893.756895	55.30
895.080595	55.30
896.411505	54.68
897.774278	54.06
899.112340	54.06
900.440937	55.92
901.801871	58.41
903.135481	60.89
904.476435	62.76
905.814321	62.76
907.147493	62.14
908.479158	62.14
909.835573	61.52
911.205810	61.52
912.612880	61.52
913.934029	60.89
915.274021	59.65
916.605405	59.03
918.011104	58.41
919.402916	57.79
920.734102	57.17
922.101697	59.03
923.435653	61.52
924.773078	62.76
926.137142	62.14
927.497669	60.89
928.869451	60.89
930.262899	61.52
931.590867	61.52
932.926375	62.14
934.287546	62.14
935.669357	61.52
936.999057	61.52
938.394170	61.52
939.751168	62.14
941.091669	62.14
942.452595	60.89
943.794729	59.65
945.181329	59.65
946.530357	58.41
947.854187	57.17
949.195877	57.79
950.549790	56.54
951.906875	53.44
953.265632	48.47
954.603834	42.87
955.982010	35.42
957.387568	27.96
958.745828	22.37
960.102527	17.40
961.425793	12.43
962.788516	8.70
964.140318	5.59
